Description,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Influenza A virus genome assembly, segment: 2",1528,1699,40%,0.0,100.00,2341,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OY282753.1?report=genbank&log$=nucltop&blast_rank=23&RID=CWE8BBHJ013"",""OY282753.1"")"
"Influenza A virus genome assembly, segment: 2",1528,1699,40%,0.0,100.00,2340,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OY282705.1?report=genbank&log$=nucltop&blast_rank=24&RID=CWE8BBHJ013"",""OY282705.1"")"
"Influenza A virus genome assembly, segment: 2",1528,1675,40%,0.0,100.00,2341,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OY282697.1?report=genbank&log$=nucltop&blast_rank=25&RID=CWE8BBHJ013"",""OY282697.1"")"
"Influenza A virus genome assembly, segment: 2",1528,1528,36%,0.0,100.00,2341,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OY282655.1?report=genbank&log$=nucltop&blast_rank=26&RID=CWE8BBHJ013"",""OY282655.1"")"
"Influenza A virus (A/Wisconsin/32/2023(H3N2)) segment 2 polymerase PB1 (PB1) and PB1-F2 protein (PB1-F2) genes, complete cds",1528,1699,40%,0.0,100.00,2316,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OR202139.1?report=genbank&log$=nucltop&blast_rank=27&RID=CWE8BBHJ013"",""OR202139.1"")"
"Influenza A virus (A/Wisconsin/32/2023(H3N2)) segment 2 polymerase PB1 (PB1) and PB1-F2 protein (PB1-F2) genes, complete cds",1528,1699,40%,0.0,100.00,2316,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OR202131.1?report=genbank&log$=nucltop&blast_rank=28&RID=CWE8BBHJ013"",""OR202131.1"")"
"Influenza A virus (A/Wisconsin/23/2023(H3N2)) segment 2 polymerase PB1 (PB1) and PB1-F2 protein (PB1-F2) genes, complete cds",1528,1699,40%,0.0,100.00,2316,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OR014246.1?report=genbank&log$=nucltop&blast_rank=29&RID=CWE8BBHJ013"",""OR014246.1"")"
"Influenza A virus (A/Wisconsin/10/2023(H3N2)) segment 2 polymerase PB1 (PB1) and PB1-F2 protein (PB1-F2) genes, complete cds",1528,1699,40%,0.0,100.00,2316,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OR014136.1?report=genbank&log$=nucltop&blast_rank=30&RID=CWE8BBHJ013"",""OR014136.1"")"
"Influenza A virus (A/New Mexico/18/2023(H3N2)) segment 2 polymerase PB1 (PB1) and PB1-F2 protein (PB1-F2) genes, complete cds",1528,1699,40%,0.0,100.00,2316,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OR012285.1?report=genbank&log$=nucltop&blast_rank=31&RID=CWE8BBHJ013"",""OR012285.1"")"
"Influenza A virus (A/Missouri/13/2023(H3N2)) segment 2 polymerase PB1 (PB1) and PB1-F2 protein (PB1-F2) genes, complete cds",1528,1699,40%,0.0,100.00,2316,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OR011790.1?report=genbank&log$=nucltop&blast_rank=32&RID=CWE8BBHJ013"",""OR011790.1"")"
"Influenza A virus (A/United Kingdom/GSTT_IAV_ED80/2023(H3)) segment 2 polymerase PB1 (PB1) and PB1-F2 protein (PB1-F2) genes, complete cds",1528,1699,40%,0.0,100.00,2274,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OQ764704.1?report=genbank&log$=nucltop&blast_rank=33&RID=CWE8BBHJ013"",""OQ764704.1"")"
"Influenza A virus (A/United Kingdom/GSTT_IAV_ED64/2023(H3)) segment 2 polymerase PB1 (PB1) and PB1-F2 protein (PB1-F2) genes, complete cds",1528,1699,40%,0.0,100.00,2274,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OQ764632.1?report=genbank&log$=nucltop&blast_rank=34&RID=CWE8BBHJ013"",""OQ764632.1"")"
"Influenza A virus (A/United Kingdom/GSTT_IAV_ED5/2022(H3)) segment 2 polymerase PB1 (PB1) and PB1-F2 protein (PB1-F2) genes, complete cds",1528,1699,40%,0.0,100.00,2274,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OQ764576.1?report=genbank&log$=nucltop&blast_rank=35&RID=CWE8BBHJ013"",""OQ764576.1"")"
"Influenza A virus (A/United Kingdom/GSTT_IAV_ED29/2022(H3)) segment 2 polymerase PB1 (PB1) and PB1-F2 protein (PB1-F2) genes, complete cds",1528,1699,40%,0.0,100.00,2274,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OQ764504.1?report=genbank&log$=nucltop&blast_rank=36&RID=CWE8BBHJ013"",""OQ764504.1"")"
"Influenza A virus (A/United Kingdom/GSTT_IAV_ED1/2022(H3)) segment 2 polymerase PB1 (PB1) and PB1-F2 protein (PB1-F2) genes, complete cds",1528,1693,40%,0.0,100.00,2274,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OQ764360.1?report=genbank&log$=nucltop&blast_rank=37&RID=CWE8BBHJ013"",""OQ764360.1"")"
"Influenza A virus (A/United Kingdom/GSTT_IAV_ED60/2022(H3)) segment 2 polymerase PB1 (PB1) and PB1-F2 protein (PB1-F2) genes, partial cds",1528,1528,36%,0.0,100.00,2053,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OQ763915.1?report=genbank&log$=nucltop&blast_rank=38&RID=CWE8BBHJ013"",""OQ763915.1"")"
"Influenza A virus (A/Utah/83/2022(H3N2)) segment 2 polymerase PB1 (PB1) and PB1-F2 protein (PB1-F2) genes, complete cds",1528,1699,40%,0.0,100.00,2316,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OQ667238.1?report=genbank&log$=nucltop&blast_rank=39&RID=CWE8BBHJ013"",""OQ667238.1"")"
"Influenza A virus (A/Colorado/78/2022(H3N2)) segment 2 polymerase PB1 (PB1) and PB1-F2 protein (PB1-F2) genes, complete cds",1528,1699,40%,0.0,100.00,2316,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OQ664974.1?report=genbank&log$=nucltop&blast_rank=40&RID=CWE8BBHJ013"",""OQ664974.1"")"
"Influenza A virus (A/Utah/77/2022(H3N2)) segment 2 polymerase PB1 (PB1) and PB1-F2 protein (PB1-F2) genes, complete cds",1528,1699,40%,0.0,100.00,2316,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OQ664283.1?report=genbank&log$=nucltop&blast_rank=41&RID=CWE8BBHJ013"",""OQ664283.1"")"
"Influenza A virus (A/Kentucky/19/2022(H3N2)) segment 2 polymerase PB1 (PB1) and PB1-F2 protein (PB1-F2) genes, complete cds",1528,1699,40%,0.0,100.00,2316,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OQ663339.1?report=genbank&log$=nucltop&blast_rank=42&RID=CWE8BBHJ013"",""OQ663339.1"")"
"Influenza A virus genome assembly, segment: 2",1528,1629,38%,0.0,100.00,2341,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OX446667.1?report=genbank&log$=nucltop&blast_rank=43&RID=CWE8BBHJ013"",""OX446667.1"")"
"Influenza A virus genome assembly, segment: 2",1528,1699,40%,0.0,100.00,2341,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OX439070.1?report=genbank&log$=nucltop&blast_rank=44&RID=CWE8BBHJ013"",""OX439070.1"")"
"Influenza A virus genome assembly, segment: 2",1528,1678,40%,0.0,100.00,2341,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OX439112.1?report=genbank&log$=nucltop&blast_rank=45&RID=CWE8BBHJ013"",""OX439112.1"")"
"Influenza A virus (A/Rheinland-Pfalz/USAFSAM-14047/2022(H3N2)) segment 2 polymerase PB1 (PB1) and PB1-F2 protein (PB1-F2) genes, complete cds",1528,1699,40%,0.0,100.00,2274,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OQ506860.1?report=genbank&log$=nucltop&blast_rank=46&RID=CWE8BBHJ013"",""OQ506860.1"")"
"Influenza A virus (A/New York/39/2022(H3N2)) segment 2 polymerase PB1 (PB1) and PB1-F2 protein (PB1-F2) genes, complete cds",1528,1693,40%,0.0,100.00,2316,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OQ465256.1?report=genbank&log$=nucltop&blast_rank=47&RID=CWE8BBHJ013"",""OQ465256.1"")"
"Influenza A virus (A/Rheinland-Pfalz/USAFSAM-13959/2022(H3N2)) segment 2 polymerase PB1 (PB1) and PB1-F2 protein (PB1-F2) genes, complete cds",1528,1699,40%,0.0,100.00,2274,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OQ368281.1?report=genbank&log$=nucltop&blast_rank=48&RID=CWE8BBHJ013"",""OQ368281.1"")"
"Influenza A virus (A/Rheinland-Pfalz/USAFSAM-13953/2022(H3N2)) segment 2 polymerase PB1 (PB1) and PB1-F2 protein (PB1-F2) genes, complete cds",1528,1699,40%,0.0,100.00,2274,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OQ368257.1?report=genbank&log$=nucltop&blast_rank=49&RID=CWE8BBHJ013"",""OQ368257.1"")"
"Influenza A virus (A/Rheinland-Pfalz/USAFSAM-13827/2022(H3N2)) segment 2 polymerase PB1 (PB1) and PB1-F2 protein (PB1-F2) genes, complete cds",1528,1699,40%,0.0,100.00,2274,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OQ367553.1?report=genbank&log$=nucltop&blast_rank=50&RID=CWE8BBHJ013"",""OQ367553.1"")"



		


