Description,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Influenza A virus (A/WA/78540/2022(H3N2)) segment 7 matrix protein 2 (M2) and matrix protein 1 (M1) genes, complete cds",1808,1808,100%,0.0,99.90,984,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OR322039.1?report=genbank&log$=nucltop&blast_rank=15&RID=CWE8T87X013"",""OR322039.1"")"
"Influenza A virus genome assembly, segment: 7",1808,1808,100%,0.0,99.90,1027,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OY284363.1?report=genbank&log$=nucltop&blast_rank=16&RID=CWE8T87X013"",""OY284363.1"")"
"Influenza A virus genome assembly, segment: 7",1808,1808,100%,0.0,99.90,1027,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OY284097.1?report=genbank&log$=nucltop&blast_rank=17&RID=CWE8T87X013"",""OY284097.1"")"
"Influenza A virus genome assembly, segment: 7",1808,1808,100%,0.0,99.90,1027,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OY284057.1?report=genbank&log$=nucltop&blast_rank=18&RID=CWE8T87X013"",""OY284057.1"")"
"Influenza A virus genome assembly, segment: 7",1808,1808,100%,0.0,99.90,1027,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OY283697.1?report=genbank&log$=nucltop&blast_rank=19&RID=CWE8T87X013"",""OY283697.1"")"
"Influenza A virus genome assembly, segment: 7",1808,1808,100%,0.0,99.90,1027,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OY283602.1?report=genbank&log$=nucltop&blast_rank=20&RID=CWE8T87X013"",""OY283602.1"")"
"Influenza A virus genome assembly, segment: 7",1808,1808,100%,0.0,99.90,1027,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OY283503.1?report=genbank&log$=nucltop&blast_rank=21&RID=CWE8T87X013"",""OY283503.1"")"
"Influenza A virus genome assembly, segment: 7",1808,1808,100%,0.0,99.90,1027,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OY283461.1?report=genbank&log$=nucltop&blast_rank=22&RID=CWE8T87X013"",""OY283461.1"")"
"Influenza A virus genome assembly, segment: 7",1808,1808,100%,0.0,99.90,1027,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OY283211.1?report=genbank&log$=nucltop&blast_rank=23&RID=CWE8T87X013"",""OY283211.1"")"
"Influenza A virus genome assembly, segment: 7",1808,1808,100%,0.0,99.90,1027,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OY283164.1?report=genbank&log$=nucltop&blast_rank=24&RID=CWE8T87X013"",""OY283164.1"")"
"Influenza A virus genome assembly, segment: 7",1808,1808,100%,0.0,99.90,1027,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OY282984.1?report=genbank&log$=nucltop&blast_rank=25&RID=CWE8T87X013"",""OY282984.1"")"
"Influenza A virus genome assembly, segment: 7",1808,1808,100%,0.0,99.90,1027,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OY282932.1?report=genbank&log$=nucltop&blast_rank=26&RID=CWE8T87X013"",""OY282932.1"")"
"Influenza A virus genome assembly, segment: 7",1808,1808,100%,0.0,99.90,1027,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OY282702.1?report=genbank&log$=nucltop&blast_rank=27&RID=CWE8T87X013"",""OY282702.1"")"
"Influenza A virus (A/Texas/11/2023(H3N2)) segment 7 matrix protein 2 (M2) and matrix protein 1 (M1) genes, complete cds",1808,1808,100%,0.0,99.90,1002,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OR202017.1?report=genbank&log$=nucltop&blast_rank=28&RID=CWE8T87X013"",""OR202017.1"")"
"Influenza A virus (A/Texas/11/2023(H3N2)) segment 7 matrix protein 2 (M2) and matrix protein 1 (M1) genes, complete cds",1808,1808,100%,0.0,99.90,1002,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OR202009.1?report=genbank&log$=nucltop&blast_rank=29&RID=CWE8T87X013"",""OR202009.1"")"
"Influenza A virus (A/New York/21/2023(H3N2)) segment 7 matrix protein 2 (M2) and matrix protein 1 (M1) genes, complete cds",1808,1808,100%,0.0,99.90,1002,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OR201785.1?report=genbank&log$=nucltop&blast_rank=30&RID=CWE8T87X013"",""OR201785.1"")"
"Influenza A virus (A/New York/21/2023(H3N2)) segment 7 matrix protein 2 (M2) and matrix protein 1 (M1) genes, complete cds",1808,1808,100%,0.0,99.90,1002,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OR201777.1?report=genbank&log$=nucltop&blast_rank=31&RID=CWE8T87X013"",""OR201777.1"")"
"Influenza A virus (A/Wisconsin/23/2023(H3N2)) segment 7 matrix protein 2 (M2) and matrix protein 1 (M1) genes, complete cds",1808,1808,100%,0.0,99.90,1002,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OR014251.1?report=genbank&log$=nucltop&blast_rank=32&RID=CWE8T87X013"",""OR014251.1"")"
"Influenza A virus (A/Vermont/02/2023(H3N2)) segment 7 matrix protein 2 (M2) and matrix protein 1 (M1) genes, complete cds",1808,1808,100%,0.0,99.90,1002,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OR013662.1?report=genbank&log$=nucltop&blast_rank=33&RID=CWE8T87X013"",""OR013662.1"")"
"Influenza A virus (A/Rhode Island/06/2023(H3N2)) segment 7 matrix protein 2 (M2) and matrix protein 1 (M1) genes, complete cds",1808,1808,100%,0.0,99.90,1002,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OR013207.1?report=genbank&log$=nucltop&blast_rank=34&RID=CWE8T87X013"",""OR013207.1"")"
"Influenza A virus (A/Pennsylvania/21/2023(H3N2)) segment 7 matrix protein 2 (M2) and matrix protein 1 (M1) genes, complete cds",1808,1808,100%,0.0,99.90,1002,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OR013095.1?report=genbank&log$=nucltop&blast_rank=35&RID=CWE8T87X013"",""OR013095.1"")"
"Influenza A virus (A/Oregon/09/2023(H3N2)) segment 7 matrix protein 2 (M2) and matrix protein 1 (M1) genes, complete cds",1808,1808,100%,0.0,99.90,1002,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OR012786.1?report=genbank&log$=nucltop&blast_rank=36&RID=CWE8T87X013"",""OR012786.1"")"
"Influenza A virus (A/North Dakota/15/2023(H3N2)) segment 7 matrix protein 2 (M2) and matrix protein 1 (M1) genes, complete cds",1808,1808,100%,0.0,99.90,1002,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OR012626.1?report=genbank&log$=nucltop&blast_rank=37&RID=CWE8T87X013"",""OR012626.1"")"
"Influenza A virus (A/New Mexico/18/2023(H3N2)) segment 7 matrix protein 2 (M2) and matrix protein 1 (M1) genes, complete cds",1808,1808,100%,0.0,99.90,1002,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OR012290.1?report=genbank&log$=nucltop&blast_rank=38&RID=CWE8T87X013"",""OR012290.1"")"
"Influenza A virus (A/New Mexico/15/2023(H3N2)) segment 7 matrix protein 2 (M2) and matrix protein 1 (M1) genes, complete cds",1808,1808,100%,0.0,99.90,1002,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OR012274.1?report=genbank&log$=nucltop&blast_rank=39&RID=CWE8T87X013"",""OR012274.1"")"
"Influenza A virus (A/Missouri/13/2023(H3N2)) segment 7 matrix protein 2 (M2) and matrix protein 1 (M1) genes, complete cds",1808,1808,100%,0.0,99.90,1002,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OR011795.1?report=genbank&log$=nucltop&blast_rank=40&RID=CWE8T87X013"",""OR011795.1"")"
"Influenza A virus (A/Michigan/17/2023(H3N2)) segment 7 matrix protein 2 (M2) and matrix protein 1 (M1) genes, complete cds",1808,1808,100%,0.0,99.90,1002,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OR011499.1?report=genbank&log$=nucltop&blast_rank=41&RID=CWE8T87X013"",""OR011499.1"")"
"Influenza A virus (A/Massachusetts/21/2023(H3N2)) segment 7 matrix protein 2 (M2) and matrix protein 1 (M1) genes, complete cds",1808,1808,100%,0.0,99.90,1002,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OR011291.1?report=genbank&log$=nucltop&blast_rank=42&RID=CWE8T87X013"",""OR011291.1"")"
"Influenza A virus (A/Massachusetts/12/2023(H3N2)) segment 7 matrix protein 2 (M2) and matrix protein 1 (M1) genes, complete cds",1808,1808,100%,0.0,99.90,1002,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OR011251.1?report=genbank&log$=nucltop&blast_rank=43&RID=CWE8T87X013"",""OR011251.1"")"
"Influenza A virus (A/Maryland/11/2023(H3N2)) segment 7 matrix protein 2 (M2) and matrix protein 1 (M1) genes, complete cds",1808,1808,100%,0.0,99.90,1002,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OR011092.1?report=genbank&log$=nucltop&blast_rank=44&RID=CWE8T87X013"",""OR011092.1"")"
"Influenza A virus (A/Maryland/03/2023(H3N2)) segment 7 matrix protein 2 (M2) and matrix protein 1 (M1) genes, complete cds",1808,1808,100%,0.0,99.90,1002,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OR011052.1?report=genbank&log$=nucltop&blast_rank=45&RID=CWE8T87X013"",""OR011052.1"")"
"Influenza A virus (A/Florida/15/2023(H3N2)) segment 7 matrix protein 2 (M2) and matrix protein 1 (M1) genes, complete cds",1808,1808,100%,0.0,99.90,1002,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OR010246.1?report=genbank&log$=nucltop&blast_rank=46&RID=CWE8T87X013"",""OR010246.1"")"
"Influenza A virus (A/Florida/11/2023(H3N2)) segment 7 matrix protein 2 (M2) and matrix protein 1 (M1) genes, complete cds",1808,1808,100%,0.0,99.90,1002,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OR010190.1?report=genbank&log$=nucltop&blast_rank=47&RID=CWE8T87X013"",""OR010190.1"")"
"Influenza A virus (A/District Of Columbia/05/2023(H3N2)) segment 7 matrix protein 2 (M2) and matrix protein 1 (M1) genes, complete cds",1808,1808,100%,0.0,99.90,1002,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OR010086.1?report=genbank&log$=nucltop&blast_rank=48&RID=CWE8T87X013"",""OR010086.1"")"
"Influenza A virus (A/Colorado/13/2023(H3N2)) segment 7 matrix protein 2 (M2) and matrix protein 1 (M1) genes, complete cds",1808,1808,100%,0.0,99.90,1002,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OR009729.1?report=genbank&log$=nucltop&blast_rank=49&RID=CWE8T87X013"",""OR009729.1"")"
"Influenza A virus (A/Michigan/UOM10048419266/2022(H3N2)) segment 7 matrix protein 2 (M2) and matrix protein 1 (M1) genes, complete cds",1808,1808,100%,0.0,99.90,982,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OQ917487.1?report=genbank&log$=nucltop&blast_rank=50&RID=CWE8T87X013"",""OQ917487.1"")"



		


