Description,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Influenza A virus (A/Rheinland-Pfalz/USAFSAM-13496/2022(H3N2)) segment 3 polymerase PA (PA) and PA-X protein (PA-X) genes, complete cds",3956,3956,100%,0.0,99.86,2151,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OQ240657.1?report=genbank&log$=nucltop&blast_rank=29&RID=CWF123EH013"",""OQ240657.1"")"
"Influenza A virus (A/Pennsylvania/59/2022(H3N2)) segment 3 polymerase PA (PA) and PA-X protein (PA-X) genes, complete cds",3956,3956,100%,0.0,99.86,2208,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OQ234354.1?report=genbank&log$=nucltop&blast_rank=30&RID=CWF123EH013"",""OQ234354.1"")"
"Influenza A virus (A/Illinois/23/2022(H3N2)) segment 3 polymerase PA (PA) and PA-X protein (PA-X) genes, complete cds",3956,3956,100%,0.0,99.86,2208,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OQ233280.1?report=genbank&log$=nucltop&blast_rank=31&RID=CWF123EH013"",""OQ233280.1"")"
"Influenza A virus genome assembly, segment: 3",3956,3956,100%,0.0,99.86,2233,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OX411415.1?report=genbank&log$=nucltop&blast_rank=32&RID=CWF123EH013"",""OX411415.1"")"
"Influenza A virus genome assembly, segment: 3",3956,3956,100%,0.0,99.86,2233,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OX411400.1?report=genbank&log$=nucltop&blast_rank=33&RID=CWF123EH013"",""OX411400.1"")"
"Influenza A virus (A/WA/44633/2022(H3N2)) segment 3 polymerase PA (PA) and PA-X protein (PA-X) genes, complete cds",3956,3956,100%,0.0,99.86,2222,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OQ180202.1?report=genbank&log$=nucltop&blast_rank=34&RID=CWF123EH013"",""OQ180202.1"")"
"Influenza A virus genome assembly, segment: 3",3956,3956,100%,0.0,99.86,2233,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OX393831.1?report=genbank&log$=nucltop&blast_rank=35&RID=CWF123EH013"",""OX393831.1"")"
"Influenza A virus genome assembly, segment: 3",3956,3956,100%,0.0,99.86,2233,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OX387581.1?report=genbank&log$=nucltop&blast_rank=36&RID=CWF123EH013"",""OX387581.1"")"
"Influenza A virus genome assembly, segment: 3",3956,3956,100%,0.0,99.86,2233,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OX387532.1?report=genbank&log$=nucltop&blast_rank=37&RID=CWF123EH013"",""OX387532.1"")"
"Influenza A virus genome assembly, segment: 3",3956,3956,100%,0.0,99.86,2233,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OX387118.1?report=genbank&log$=nucltop&blast_rank=38&RID=CWF123EH013"",""OX387118.1"")"
"Influenza A virus genome assembly, segment: 3",3956,3956,100%,0.0,99.86,2233,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OX387067.1?report=genbank&log$=nucltop&blast_rank=39&RID=CWF123EH013"",""OX387067.1"")"
"Influenza A virus genome assembly, segment: 3",3956,3956,100%,0.0,99.86,2233,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OX381550.1?report=genbank&log$=nucltop&blast_rank=40&RID=CWF123EH013"",""OX381550.1"")"
"Influenza A virus (A/California/40/2023(H3N2)) segment 3 polymerase PA (PA) and PA-X protein (PA-X) genes, complete cds",3952,3952,100%,0.0,99.81,2208,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OR009622.1?report=genbank&log$=nucltop&blast_rank=41&RID=CWF123EH013"",""OR009622.1"")"
"Influenza A virus genome assembly, segment: 3",3951,3951,100%,0.0,99.81,2233,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OY284375.1?report=genbank&log$=nucltop&blast_rank=42&RID=CWF123EH013"",""OY284375.1"")"
"Influenza A virus genome assembly, segment: 3",3951,3951,100%,0.0,99.81,2233,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OY284304.1?report=genbank&log$=nucltop&blast_rank=43&RID=CWF123EH013"",""OY284304.1"")"
"Influenza A virus genome assembly, segment: 3",3951,3951,100%,0.0,99.81,2233,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OY284171.1?report=genbank&log$=nucltop&blast_rank=44&RID=CWF123EH013"",""OY284171.1"")"
"Influenza A virus genome assembly, segment: 3",3951,3951,100%,0.0,99.81,2233,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OY284124.1?report=genbank&log$=nucltop&blast_rank=45&RID=CWF123EH013"",""OY284124.1"")"
"Influenza A virus genome assembly, segment: 3",3951,3951,100%,0.0,99.81,2233,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OY284061.1?report=genbank&log$=nucltop&blast_rank=46&RID=CWF123EH013"",""OY284061.1"")"
"Influenza A virus genome assembly, segment: 3",3951,3951,100%,0.0,99.81,2233,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OY283801.1?report=genbank&log$=nucltop&blast_rank=47&RID=CWF123EH013"",""OY283801.1"")"
"Influenza A virus genome assembly, segment: 3",3951,3951,100%,0.0,99.81,2233,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OY283665.1?report=genbank&log$=nucltop&blast_rank=48&RID=CWF123EH013"",""OY283665.1"")"
"Influenza A virus genome assembly, segment: 3",3951,3951,100%,0.0,99.81,2233,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OY283570.1?report=genbank&log$=nucltop&blast_rank=49&RID=CWF123EH013"",""OY283570.1"")"
"Influenza A virus genome assembly, segment: 3",3951,3951,100%,0.0,99.81,2233,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OY282973.1?report=genbank&log$=nucltop&blast_rank=50&RID=CWF123EH013"",""OY282973.1"")"



		


